date,day,total_coronic,new_coronic,total_be_cured,new_be_cured,deceased,new_deceased,total_negative,new_negative,diagnosed,isolated,total_released,new_released
2021-03-07,일,3326,13,3019,16,110,0,354692,1865,1878,5124,108827,436
2021-03-06,토,3313,5,3003,21,110,0,352827,1119,1124,4953,108391,502
2021-03-05,금,3308,12,2982,32,110,1,351708,2626,2638,4949,107889,3
2021-03-04,목,3296,22,2950,13,109,0,349082,1767,1789,4863,22,0
2021-03-03,수,3274,18,2937,15,109,0,347315,1615,1633,5027,111925,276
2021-03-02,화,3256,8,2922,16,109,0,345700,642,650,5143,111649,5545
2021-03-01,월,3248,15,2906,10,109,0,345058,639,654,5228,106104,241
2021-02-28,일,3233,16,2896,30,109,0,344419,1151,1167,5232,105863,283
2021-02-27,토,3217,5,2866,19,109,1,343268,1983,1988,5263,105580,238
2021-02-26,금,3212,9,2847,0,108,0,341285,0,9,4899,105342,0
2021-02-26,금,3212,9,2847,22,108,2,341285,1747,1756,4899,105342,357
2021-02-25,목,3203,11,2825,16,106,0,339538,1176,1187,4778,104985,596
2021-02-24,수,3192,20,2809,12,106,2,338362,1325,1345,4965,104389,534
2021-02-23,화,3172,13,2797,28,104,1,337037,845,858,5240,103855,454
2021-02-22,월,3159,10,2769,13,103,1,336192,745,755,5287,103401,367
2021-02-21,일,3149,13,2756,31,102,0,335447,1091,1104,5236,103034,413
2021-02-20,토,3136,11,2725,29,102,0,334356,1426,1437,5169,102621,713
2021-02-19,금,3125,17,2696,22,102,0,332930,1724,1741,5321,101908,603
2021-02-18,목,3108,17,2674,20,102,1,331206,1648,1665,5611,101305,370
2021-02-17,수,3091,26,2654,24,101,0,329558,1660,1686,5484,100935,382
2021-02-16,화,3065,17,2630,18,101,0,327898,1389,1406,5476,100553,274
2021-02-15,월,3048,19,2612,22,101,0,326509,1286,1305,5470,100279,302
2021-02-14,일,3029,15,2590,11,101,1,325223,1387,1402,5456,99977,464
2021-02-13,토,3014,16,2579,19,100,0,323836,1077,1093,5468,99513,474
2021-02-12,금,2998,34,2560,12,100,2,322759,1549,1583,5157,99039,650
2021-02-11,목,2964,24,2548,14,98,1,321210,2116,2140,5124,98389,556
2021-02-10,수,2940,26,2534,13,97,1,319094,1920,1946,5208,97833,484
2021-02-09,화,2914,18,2521,33,96,0,317174,1612,1630,5386,97349,327
2021-02-08,월,2896,9,2488,17,96,0,315562,850,859,5429,97022,332
2021-02-07,일,2887,8,2471,26,96,0,314712,962,970,5540,96690,274
2021-02-06,토,2879,11,2445,36,96,0,313750,2900,2911,5281,96416,433
2021-02-05,금,2868,15,2409,23,96,0,310850,1886,1901,5275,95983,413
2021-02-04,목,2853,34,2386,20,96,1,308964,2664,2698,5289,95570,324
2021-02-03,수,2819,24,2366,27,95,1,306300,1528,1552,5273,95246,493
